Area,Locality,Age,Crime ratio,Nitrogen/CO2 percentage,Adult to Children ratio,Earthquake zone,Government projects,Natural calamities,Rental / Monthly commercial income,ROI,Trend of property cost,Reputation of property developer,Current pricing,Scalable property
5707,Village C,40,0.79,68.12,0.48,Moderate risk zone,Infrastructure development in rural areas,TRUE,5228.58,14.54,Stable,Average,356533.63,TRUE
4649,Countryside I,15,0.85,56.45,2.55,High risk zone,Construction of new schools,FALSE,9730.17,79.71,Decreasing,Average,735607.87,FALSE
5166,Coastal Area J,21,0.32,69.68,0.63,Low risk zone,Expansion of public transportation system,FALSE,2506.88,1.95,Increasing,Good,461701.58,FALSE
4952,Town B,49,0.44,76.48,3.42,Low risk zone,Expansion of public transportation system,FALSE,9662.49,76.76,Stable,Good,668583.51,TRUE
3954,Neighborhood F,14,1,3.34,9.41,Low risk zone,Renovation of public parks,FALSE,4650.61,92.41,Stable,Good,401571.14,FALSE
6624,Urban Area H,44,0.69,5.81,3.25,High risk zone,Infrastructure development in rural areas,TRUE,9655.3,35.32,Decreasing,Average,385164.6,FALSE
1281,Countryside I,14,0.71,83.43,7.67,High risk zone,Expansion of public transportation system,FALSE,223.77,61.66,Decreasing,Average,736714.18,TRUE
9472,Neighborhood F,43,0.35,11.71,0.48,Moderate risk zone,Expansion of public transportation system,TRUE,1506.99,46.89,Stable,Terrible,456979.17,TRUE
5695,Hamlet E,33,0.93,96.33,8.44,Moderate risk zone,Construction of new schools,FALSE,8072.44,11.21,Stable,Average,372396.47,TRUE
8788,City A,2,0.45,34.98,8.77,High risk zone,Infrastructure development in rural areas,TRUE,9466.06,18.24,Stable,Poor,356462.22,TRUE
4557,Coastal Area J,15,0.17,37.34,2.13,Low risk zone,Construction of new schools,FALSE,7421.55,80.72,Decreasing,Excellent,609587.69,TRUE
3355,Countryside I,48,0.88,62.73,7.99,Moderate risk zone,Renovation of public parks,TRUE,4010.39,85.77,Increasing,Average,511922.95,TRUE
9398,Rural Area G,33,0.18,11.67,2.75,Moderate risk zone,Construction of new schools,TRUE,425.83,37.48,Increasing,Excellent,200892.32,TRUE
3473,Village C,10,0.45,53.19,3.12,Moderate risk zone,Renovation of public parks,TRUE,3545.01,60.74,Increasing,Excellent,352030.45,FALSE
3640,Town B,6,0.54,3.81,6.89,Low risk zone,Renovation of public parks,TRUE,2639.23,68.01,Increasing,Good,134903.74,TRUE
8362,Hamlet E,14,0.26,23.1,3.4,Low risk zone,Expansion of public transportation system,TRUE,5633.93,79.18,Decreasing,Excellent,800418.62,TRUE
3290,Rural Area G,46,0.47,23.18,7.59,High risk zone,Renovation of public parks,FALSE,5000.81,88.2,Increasing,Excellent,329696.95,FALSE
4597,Rural Area G,25,0.97,79.4,1.75,Low risk zone,Expansion of public transportation system,FALSE,7506.9,25.53,Increasing,Poor,297024.82,TRUE
3235,Suburb D,20,0.19,4.69,1.35,Low risk zone,Infrastructure development in rural areas,FALSE,2209.06,56.92,Increasing,Excellent,410121.22,TRUE
5319,Urban Area H,2,0.71,26.22,3.01,High risk zone,Renovation of public parks,TRUE,6953.27,69.27,Increasing,Poor,405527.35,FALSE
